date,relevant_issuer,X7,X8,X9,X10
2023-01-13,BBRI,0.22332676,0.19515459,15,12
2023-01-13,BBTN,0.26201463,0.2899008,5,5
2023-01-13,BMRI,0.45662743,0.17356795,15,3
2023-01-13,BRIS,0.23719883,0.21611387,4,3
2023-01-13,GOTO,0.23606826,0.14893225,24,13
2023-01-14,ARTO,0.51928747,0.28820032,2,1
2023-01-14,BBCA,0.26063922,0.14997761,13,7
2023-01-14,BBNI,0.28113893,0.02778607,2,0
2023-01-14,BBRI,0.33157846,0.08822218,8,1
2023-01-14,BMRI,0.31497192,0.14699863,3,1
2023-01-14,BRIS,0.41773018,0.038613748,3,0
2023-01-14,GOTO,0.22201103,0.17293389,13,9
2023-01-15,ARTO,0.2299982,0.35473073,1,2
2023-01-15,BBCA,0.19998345,0.06477177,9,2
2023-01-15,BBNI,0.42261705,0.17577091,4,2
2023-01-15,BBRI,0.2255168,0.0464459,4,1
2023-01-15,BBTN,0.013097377,0.26230502,0,1
2023-01-15,BMRI,0.3575533,0.07973101,3,1
2023-01-15,BRIS,0.24437575,0.3939177,2,2
2023-01-15,GOTO,0.13911422,0.14944676,7,9
2023-01-16,ARTO,0.3183348,0.20287262,4,2
2023-01-16,BBCA,0.17801821,0.12562743,17,12
2023-01-16,BBNI,0.32923007,0.002787519,3,0
2023-01-16,BBRI,0.19720493,0.17638634,9,9
2023-01-16,BBTN,0.04804512,0.12549227,0,1
2023-01-16,BMRI,0.32291073,0.09828201,5,1
2023-01-16,BRIS,0.14710233,0.22629401,3,4
2023-01-16,GOTO,0.20451906,0.1750503,20,16
2023-01-17,ARTO,0.37794584,0.2358659,4,2
2023-01-17,BBCA,0.180093,0.09532492,13,6
2023-01-17,BBNI,0.03458959,0.14824083,0,1
2023-01-17,BBRI,0.3141704,0.1492973,14,6
2023-01-17,BBTN,0.2189156,0.23182477,2,2
2023-01-17,BMRI,0.19136246,0.16506706,5,4
2023-01-17,BRIS,0.3537705,0.12728627,4,1
2023-01-17,GOTO,0.2159031,0.1647422,23,17
2023-01-18,ARTO,0.1990438,0.11130575,2,1
2023-01-18,BBCA,0.19846466,0.05474591,15,3
2023-01-18,BBNI,0.18652223,0.113446206,2,1
2023-01-18,BBRI,0.18412764,0.17287558,7,8
2023-01-18,BBTN,0.28359747,0.2976406,3,3
2023-01-18,BMRI,0.25867772,0.13046496,5,2
2023-01-18,BRIS,0.0566619,0.3736786,0,5
2023-01-18,GOTO,0.17102371,0.1646642,14,15
2023-01-19,ARTO,0.14190958,0.15826131,2,2
2023-01-19,BBCA,0.13658309,0.10827692,9,8
2023-01-19,BBNI,0.102952205,0.03808239,1,0
2023-01-19,BBRI,0.26451305,0.13863283,10,4
2023-01-19,BBTN,0.09890851,0.107535385,1,1
2023-01-19,BMRI,0.07624557,0.09698689,1,2
2023-01-19,BRIS,0.22767895,0.09425191,3,1
2023-01-19,GOTO,0.25078884,0.12056792,26,11
2023-01-20,ARTO,0.07996345,0.39037445,1,5
2023-01-20,BBCA,0.24472956,0.23381543,10,9
2023-01-20,BBNI,0.28824493,0.22864214,4,3
2023-01-20,BBRI,0.19623874,0.17567815,7,6
2023-01-20,BBTN,0.52420056,0.13570803,5,2
2023-01-20,BMRI,0.2501875,0.12426569,6,3
2023-01-20,BRIS,0.3097159,0.24339244,9,7
2023-01-20,GOTO,0.1997279,0.20618501,19,16
2023-01-21,ARTO,0.01599146,0.5879539,0,2
2023-01-21,BBCA,0.09963617,0.32491115,1,3
2023-01-21,BBNI,0.019079417,0.0005709076,0,0
2023-01-21,BBRI,0.3827644,0.26124775,5,3
2023-01-21,BBTN,0.48487398,0.10896709,1,0
2023-01-21,BMRI,0.24391612,0.20111132,2,2
2023-01-21,BRIS,0.35610744,0.1807179,3,1
2023-01-21,GOTO,0.29302445,0.303621,6,5
2023-01-22,ARTO,0.2043854,0.35467967,2,3
2023-01-22,BBCA,0.29278123,0.17006381,4,1
2023-01-22,BBNI,0.0068133906,0.003389318,0,0
2023-01-22,BBRI,0.54637206,0.045737136,7,0
2023-01-22,BBTN,0.00810368,0.0042728996,0,0
2023-01-22,BMRI,0.3310128,0.32959706,2,1
2023-01-22,BRIS,0.21567392,0.18138157,1,1
2023-01-22,GOTO,0.23077138,0.38560587,5,8
2023-01-23,ARTO,0.5002624,0.057700995,1,0
2023-01-23,BBCA,0.24923095,0.17078422,3,2
2023-01-23,BBNI,0.010722381,0.22436275,0,1
2023-01-23,BBRI,0.46362537,0.080898546,10,1
2023-01-23,BBTN,0.00025422272,0.001100967,0,0
2023-01-23,BMRI,0.23742904,0.14645876,2,1
2023-01-23,BRIS,0.3630733,0.34354872,5,4
2023-01-23,GOTO,0.25124767,0.12676522,7,3
2023-01-24,ARTO,0.41640052,0.15035902,6,2
2023-01-24,BBCA,0.18692894,0.22627452,5,8
2023-01-24,BBNI,0.24101861,0.08091611,7,3
2023-01-24,BBRI,0.27142197,0.116388924,12,6
2023-01-24,BBTN,0.29996175,0.13045706,4,2
2023-01-24,BMRI,0.27145448,0.09755607,9,4
2023-01-24,BRIS,0.23709469,0.15366077,4,2
2023-01-24,GOTO,0.28243324,0.24092041,32,23
2023-01-25,ARTO,0.33672413,0.06886989,7,0
2023-01-25,BBCA,0.24955341,0.13094586,5,2
2023-01-25,BBNI,0.2956321,0.12540543,11,4
2023-01-25,BBRI,0.29782975,0.28639147,8,8
2023-01-25,BBTN,0.34113193,0.09997912,7,2
2023-01-25,BMRI,0.31156003,0.10325536,8,3
2023-01-25,BRIS,0.14515212,0.29658192,3,5
2023-01-25,GOTO,0.14741132,0.29053408,11,21
2023-01-26,ARTO,0.34732857,0.03722644,9,1
2023-01-26,BBCA,0.31654808,0.14548133,31,14
2023-01-26,BBNI,0.4114933,0.13032353,10,3
2023-01-26,BBRI,0.26845813,0.14986986,12,7
2023-01-26,BBTN,0.34575954,0.22629207,5,2
2023-01-26,BMRI,0.396933,0.059401024,12,2
2023-01-26,BRIS,0.247339,0.27139878,14,13
2023-01-26,GOTO,0.17519468,0.1829466,12,12
2023-01-27,ARTO,0.47617924,0.18932742,8,3
2023-01-27,BBCA,0.2653789,0.18099332,30,15
2023-01-27,BBNI,0.19481961,0.09887041,5,2
2023-01-27,BBRI,0.24710456,0.20652868,18,13
2023-01-27,BBTN,0.30999127,0.020695357,5,0
2023-01-27,BMRI,0.32418254,0.11798762,14,4
2023-01-27,BRIS,0.17519562,0.1283427,3,2
2023-01-27,GOTO,0.22888374,0.2343829,21,19
2023-01-28,ARTO,0.7344469,0.24163012,4,1
2023-01-28,BBCA,0.28528252,0.34874234,11,14
2023-01-28,BBNI,0.14405142,0.32953092,1,2
2023-01-28,BBRI,0.13515034,0.4190395,3,9
2023-01-28,BBTN,0.035977405,0.048499394,0,0
2023-01-28,BMRI,0.10976458,0.32380572,1,3
2023-01-28,BRIS,0.27607283,0.19732578,3,3
2023-01-28,GOTO,0.3211738,0.2536934,12,9
2023-01-29,ARTO,0.066419214,0.5173745,0,2
2023-01-29,BBCA,0.16786367,0.3542896,4,9
2023-01-29,BBNI,0.29915935,0.34240845,1,1
2023-01-29,BBRI,0.12915987,0.43979013,2,8
2023-01-29,BBTN,0.4728663,0.50150347,1,1
2023-01-29,BMRI,0.01319022,0.38605085,0,3
2023-01-29,BRIS,0.17102344,0.15495424,1,0
2023-01-29,GOTO,0.21076022,0.329443,6,9
2023-01-30,ARTO,0.283996,0.17713307,3,2
2023-01-30,BBCA,0.31195074,0.16732132,16,9
2023-01-30,BBNI,0.24122627,0.0557616,5,1
2023-01-30,BBRI,0.3020464,0.14197837,11,5
2023-01-30,BBTN,0.22646253,0.06064254,4,1
2023-01-30,BMRI,0.18732363,0.18040381,4,5
2023-01-30,BRIS,0.13018174,0.29696643,4,9
2023-01-30,GOTO,0.2046221,0.3135631,14,22
2023-01-31,ARTO,0.36984468,0.111674406,5,2
2023-01-31,BBCA,0.19297065,0.21108772,11,13
