date,Close,Open,High,Low,Volume,macd,macd_signal,macd_hist,rsi,relevant_issuer
2023-01-01,91.0,97.0,97.0,91.0,2801920800.0,-10.211869692917674,-13.833012215021991,3.621142522104318,36.916517948216836,GOTO
2023-01-02,93.0,91.0,94.0,91.0,943327700.0,-9.326806309456643,-12.931771033908921,3.6049647244522784,39.644219912691504,GOTO
2023-01-03,95.0,93.0,97.0,93.0,2764634300.0,-8.367548031138668,-12.018926433354872,3.6513784022162046,42.329677646834995,GOTO
2023-01-04,96.0,95.0,97.0,93.0,1817809600.0,-7.440863647486253,-11.103313876181149,3.6624502286948957,43.67902665285279,GOTO
2023-01-05,92.0,96.0,96.0,91.0,1795026400.0,-6.94912102613479,-10.272475306171877,3.323354280037087,39.6797159633828,GOTO
2023-01-06,95.0,92.0,95.0,91.0,802624500.0,-6.2453440888806995,-9.467049062713642,3.221704973832942,43.83342508106753,GOTO
2023-01-07,95.0,92.0,95.0,91.0,802624500.0,-5.6227798891644625,-8.698195228003806,3.0754153388393437,43.83342508106753,GOTO
2023-01-08,95.0,92.0,95.0,91.0,802624500.0,-5.070938651333634,-7.972743912669772,2.901805261336138,43.83342508106753,GOTO
2023-01-09,93.0,95.0,96.0,91.0,1913804200.0,-4.740340090054971,-7.326263148146813,2.5859230580918418,41.45643460538598,GOTO
2023-01-10,95.0,93.0,96.0,92.0,1816805700.0,-4.267758994009796,-6.71456231731941,2.446803323309614,44.68668652279576,GOTO
2023-01-11,94.0,95.0,96.0,93.0,708789400.0,-3.928639799170867,-6.157377813689702,2.228738014518835,43.39732451779982,GOTO
2023-01-12,97.0,95.0,98.0,93.0,2440202700.0,-3.378861059064363,-5.601674462764634,2.222813403700271,48.22382766946826,GOTO
2023-01-13,105.0,97.0,107.0,96.0,6373386300.0,-2.2714405526098034,-4.935627680733668,2.6641871281238645,58.408623811632054,GOTO
2023-01-14,105.0,97.0,107.0,96.0,6373386300.0,-1.3779180412552705,-4.224085752837988,2.8461677115827175,58.408623811632054,GOTO
2023-01-15,105.0,97.0,107.0,96.0,6373386300.0,-0.6621620219176094,-3.5117010066539125,2.849538984736303,58.408623811632054,GOTO
2023-01-16,107.0,105.0,107.0,103.0,3497962100.0,0.06570565160242836,-2.7962196750026447,2.861925326605073,60.815380003282826,GOTO
2023-01-17,114.0,108.0,117.0,107.0,7642543700.0,1.1936281234303436,-1.998250115316047,3.1918782387463907,67.83170341176867,GOTO
2023-01-18,114.0,115.0,118.0,111.0,4028530100.0,2.0637254660484388,-1.18585499904315,3.2495804650915887,67.83170341176867,GOTO
2023-01-19,115.0,113.0,116.0,111.0,2527231700.0,2.8016795040990985,-0.3883480984147002,3.1900276025137986,68.75852639940082,GOTO
2023-01-20,114.0,116.0,118.0,111.0,3925977900.0,3.2681485709012037,0.34295123544848055,2.925197335452723,66.6892927708291,GOTO
2023-01-21,114.0,116.0,118.0,111.0,3925977900.0,3.5963719301233397,0.9936353743834525,2.602736555739887,66.6892927708291,GOTO
2023-01-22,114.0,116.0,118.0,111.0,3925977900.0,3.812542688144987,1.5574168371357593,2.2551258510092276,66.6892927708291,GOTO
2023-01-23,114.0,116.0,118.0,111.0,3925977900.0,3.938459462228664,2.0336253621543405,1.9048341000743236,66.6892927708291,GOTO
2023-01-24,119.0,115.0,120.0,113.0,6396124200.0,4.391089875402727,2.5051182648040182,1.885971610598709,72.29628244139256,GOTO
2023-01-25,117.0,119.0,121.0,114.0,5046587800.0,4.536129773184086,2.9113205664800317,1.6248092067040547,67.40856953517425,GOTO
2023-01-26,115.0,115.0,117.0,114.0,2417761600.0,4.4385270746004295,3.2167618681041112,1.2217652064963183,62.83381462149481,GOTO
2023-01-27,117.0,115.0,118.0,115.0,2312463700.0,4.471020378278752,3.4676135701390396,1.003406808139712,65.3651555762638,GOTO
2023-01-28,117.0,115.0,118.0,115.0,2312463700.0,4.445526295653181,3.663196115241868,0.782330180411313,65.3651555762638,GOTO
